<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IslamicTreasury-B,20161221, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161220, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161219, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161218, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161214, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161213, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161212, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161211, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161210, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161207, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161206, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161205, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161204, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161203, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161129, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161127, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161126, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161123, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
IslamicTreasury-B,20161122, 0.00, 0.00, 0.00, 993720.00,0.00, 0,0,D,993720.00,994450.00
