<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

TreasuryBill200107,20240122, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240121, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240120, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240117, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240116, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240115, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240114, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240113, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240110, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240109, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240108, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240107, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240106, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240103, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240102, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20240101, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231231, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231230, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231227, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231226, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231225, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231224, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231223, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231220, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231219, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231218, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231216, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231213, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231212, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231211, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231210, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231209, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231206, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231205, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231204, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231203, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231202, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231129, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
TreasuryBill200107,20231128, 0.00, 0.00, 0.00, 995716.00,0.00, 0,0,D,995716.00,995688.00
